metric,threshold,n,k,pivot_changed_rate,pivot_changed_ci_lo,pivot_changed_ci_hi,x_median,gamma,shock_type,lock_in,pivot_is_dominant_rate,HHI_roll_median,HHI_median,max_share_median
max_share,0.54375,54299,22508,0.41451960441260427,0.41038208839251417,0.4186692148821933,0.4349604932714137,2.0,reallocate_total_fixed,0,0.5960883257518554,0.3325588160582534,0.2976794026145032,0.4349604932714137
max_share,0.54375,45701,4164,0.09111398000043763,0.08850983608597644,0.09378685958838294,0.711413974357492,2.0,reallocate_total_fixed,1,1.0,0.5116530747501966,0.5373838716017114,0.711413974357492
max_share,0.5625,57898,10662,0.18415143873708936,0.18101512383054058,0.18732966470551177,0.4412863085850953,-0.5,inflate_only,0,0.6211958962313033,0.3335782498010418,0.3019036295582473,0.4412863085850953
max_share,0.5625,42102,933,0.022160467436226308,0.02079731434146032,0.023610813579678303,0.730181119306148,-0.5,inflate_only,1,1.0,0.5580468197083641,0.5607089287588576,0.730181119306148
max_share,0.5625,57898,11959,0.2065529033818094,0.20327481731155653,0.20986992798442036,0.4412863085850953,-0.5,reallocate_total_fixed,0,0.6211958962313033,0.3335782498010418,0.3019036295582473,0.4412863085850953
max_share,0.5625,42102,3997,0.094936107548335,0.09217293516494834,0.09777319335513807,0.730181119306148,-0.5,reallocate_total_fixed,1,1.0,0.5580468197083641,0.5607089287588576,0.730181119306148
max_share,0.5625,57898,9282,0.16031641852913744,0.157350346689218,0.16332756418400018,0.4412863085850953,0.5,inflate_only,0,0.6211958962313033,0.3335782498010418,0.3019036295582473,0.4412863085850953
max_share,0.5625,42102,20,0.0004750368153531899,0.0003075454059748023,0.0007336782896940668,0.730181119306148,0.5,inflate_only,1,1.0,0.5580468197083641,0.5607089287588576,0.730181119306148
max_share,0.5625,57898,11424,0.19731251511278455,0.19409092761938057,0.20057426727832367,0.4412863085850953,0.5,reallocate_total_fixed,0,0.6211958962313033,0.3335782498010418,0.3019036295582473,0.4412863085850953
max_share,0.5625,42102,211,0.0050116384019761534,0.004380786541045388,0.005732812518330736,0.730181119306148,0.5,reallocate_total_fixed,1,1.0,0.5580468197083641,0.5607089287588576,0.730181119306148
max_share,0.5625,57898,14198,0.24522436008152268,0.24173692812461647,0.24874559911852387,0.4412863085850953,1.0,inflate_only,0,0.6211958962313033,0.3335782498010418,0.3019036295582473,0.4412863085850953
max_share,0.5625,42102,400,0.009500736307063797,0.008617811422702102,0.010473164305473345,0.730181119306148,1.0,inflate_only,1,1.0,0.5580468197083641,0.5607089287588576,0.730181119306148
max_share,0.5625,57898,16769,0.2896300390341635,0.2859493142934513,0.29333867850849094,0.4412863085850953,1.0,reallocate_total_fixed,0,0.6211958962313033,0.3335782498010418,0.3019036295582473,0.4412863085850953
max_share,0.5625,42102,1086,0.02579449907367821,0.024322979204803082,0.02735254887679214,0.730181119306148,1.0,reallocate_total_fixed,1,1.0,0.5580468197083641,0.5607089287588576,0.730181119306148
max_share,0.5625,57898,20228,0.34937303533800823,0.34549954028828317,0.3532665176120238,0.4412863085850953,2.0,inflate_only,0,0.6211958962313033,0.3335782498010418,0.3019036295582473,0.4412863085850953
