lambda,variable,state,stat,value
0.005,delta_VWAP,lockin,p05,60.51405991252759
0.005,delta_VWAP,lockin,p25,77.89269408796463
0.005,delta_VWAP,lockin,p50,95.55779388247174
0.005,delta_VWAP,lockin,p75,130.8183908565079
0.005,delta_VWAP,lockin,p95,181.43486693901366
0.005,delta_VWAP,lockin,p99,216.5374071023059
0.005,delta_VWAP,lockin,max,303.51601462507097
0.005,delta_VWAP,lockin,share_zero,0.0
0.005,delta_VWAP,non_lockin,n,467857.0
0.005,delta_VWAP,non_lockin,mean,90.03105850578014
0.005,delta_VWAP,non_lockin,std,24.66257081752671
0.005,delta_VWAP,non_lockin,min,24.386338720712956
0.005,delta_VWAP,non_lockin,p01,40.21818010255112
0.005,delta_VWAP,non_lockin,p05,51.16487533025283
0.005,delta_VWAP,non_lockin,p25,72.4276555067845
0.005,delta_VWAP,non_lockin,p50,87.87937002936815
0.005,delta_VWAP,non_lockin,p75,106.4000310705378
0.005,delta_VWAP,non_lockin,p95,134.85702146219555
0.005,delta_VWAP,non_lockin,p99,148.42670190291946
0.005,delta_VWAP,non_lockin,max,169.78393475948542
0.005,delta_VWAP,non_lockin,share_zero,0.0
0.005,delta_LWMP,lockin,n,583343.0
0.005,delta_LWMP,lockin,mean,164.6460994774636
0.005,delta_LWMP,lockin,std,71.64298435044195
0.005,delta_LWMP,lockin,min,77.59406249999847
0.005,delta_LWMP,lockin,p01,81.86428924999964
0.005,delta_LWMP,lockin,p05,83.51696249999804
0.005,delta_LWMP,lockin,p25,99.55866874999629
0.005,delta_LWMP,lockin,p50,152.10471249999682
0.005,delta_LWMP,lockin,p75,220.60645624999597
0.005,delta_LWMP,lockin,p95,294.1643412499929
0.005,delta_LWMP,lockin,p99,316.9565179999945
0.005,delta_LWMP,lockin,max,343.42186249999213
0.005,delta_LWMP,lockin,share_zero,0.0
0.005,delta_LWMP,non_lockin,n,467857.0
0.005,delta_LWMP,non_lockin,mean,28.236954323138388
0.005,delta_LWMP,non_lockin,std,34.65969800773217
0.005,delta_LWMP,non_lockin,min,0.0
0.005,delta_LWMP,non_lockin,p01,0.0
0.005,delta_LWMP,non_lockin,p05,0.0
0.005,delta_LWMP,non_lockin,p25,3.069999999999709
0.005,delta_LWMP,non_lockin,p50,17.472499999996217
0.005,delta_LWMP,non_lockin,p75,38.974999999998545
0.005,delta_LWMP,non_lockin,p95,99.37299999999802
0.005,delta_LWMP,non_lockin,p99,161.58580000000077
0.005,delta_LWMP,non_lockin,max,321.1631749999942
0.005,delta_LWMP,non_lockin,share_zero,0.1711228003428398
0.005,kappa_VWAP,lockin,n,583343.0
0.005,kappa_VWAP,lockin,mean,0.6849466088483174
0.005,kappa_VWAP,lockin,std,0.13138673062005385
0.005,kappa_VWAP,lockin,min,0.500000315290612
0.005,kappa_VWAP,lockin,p01,0.5022644112173039
0.005,kappa_VWAP,lockin,p05,0.5115677865419557
0.005,kappa_VWAP,lockin,p25,0.5649670488243794
0.005,kappa_VWAP,lockin,p50,0.6637270212897518
0.005,kappa_VWAP,lockin,p75,0.8000209003892294
0.005,kappa_VWAP,lockin,p95,0.905691616833444
0.005,kappa_VWAP,lockin,p99,0.9463645985249183
0.005,kappa_VWAP,lockin,max,0.9945077405352332
0.005,kappa_VWAP,lockin,share_zero,0.0
0.005,kappa_VWAP,non_lockin,n,467857.0
0.005,kappa_VWAP,non_lockin,mean,0.4110928256453028
0.005,kappa_VWAP,non_lockin,std,0.056307356686337726
0.005,kappa_VWAP,non_lockin,min,0.18588630652739258
0.005,kappa_VWAP,non_lockin,p01,0.2727698581738296
0.005,kappa_VWAP,non_lockin,p05,0.31000520021254246
0.005,kappa_VWAP,non_lockin,p25,0.3717371243562428
0.005,kappa_VWAP,non_lockin,p50,0.4168213751882764
0.005,kappa_VWAP,non_lockin,p75,0.4572289096626534
0.005,kappa_VWAP,non_lockin,p95,0.4910157399279834
0.005,kappa_VWAP,non_lockin,p99,0.4981586235105652
0.005,kappa_VWAP,non_lockin,max,0.4999999851622545
0.005,kappa_VWAP,non_lockin,share_zero,0.0
0.005,kappa_LWMP,lockin,n,583343.0
0.005,kappa_LWMP,lockin,mean,0.999999999999979
0.005,kappa_LWMP,lockin,std,1.0020868555838267e-14
0.005,kappa_LWMP,lockin,min,0.9999999999999565
0.005,kappa_LWMP,lockin,p01,0.9999999999999595
0.005,kappa_LWMP,lockin,p05,0.9999999999999628
0.005,kappa_LWMP,lockin,p25,0.9999999999999705
0.005,kappa_LWMP,lockin,p50,0.9999999999999787
0.005,kappa_LWMP,lockin,p75,0.9999999999999869
0.005,kappa_LWMP,lockin,p95,0.9999999999999946
0.005,kappa_LWMP,lockin,p99,0.9999999999999979
0.005,kappa_LWMP,lockin,max,1.0000000000000009
0.005,kappa_LWMP,lockin,share_zero,0.0
0.005,kappa_LWMP,non_lockin,n,467857.0
0.005,kappa_LWMP,non_lockin,mean,0.12578394589982417
0.005,kappa_LWMP,non_lockin,std,0.15255677058639328
