check_id,check_name,status,severity,scenario,value,threshold,message
ORIG_DIAG_001,Original diagnostics: lockin_pivot_equals_dominant_ratio,PASS,INFO,EXCL_Coinbase,1.0,original run diagnostics status,Expected to be near 1 when max_share > 0.5; exact ties can lower it.
DIAG_001,lock_in pivot equals dominant_exchange ratio,PASS,INFO,EXCL_Coinbase,1.0,>= 0.999 PASS; >= 0.99 WARNING,Expected to be near 1 when max_share > 0.5; exact ties can lower it.
ORIG_DIAG_001,Original diagnostics: negative_weights_after_cleaning,PASS,INFO,EXCL_Coinbase,0.0,original run diagnostics status,Scenario arrays set invalid/nonpositive weights to zero before normalization.
DIAG_003,No negative weights after cleaning,PASS,INFO,EXCL_Coinbase,0,0,Scenario arrays set invalid/nonpositive weights to zero before normalization.
ORIG_DIAG_001,Original diagnostics: sampled_candidate_events,PASS,INFO,EXCL_Coinbase,100000.0,original run diagnostics status,total_candidates=6263198
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Coinbase,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=-0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Coinbase,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Coinbase,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=1.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Coinbase,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=2.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Coinbase,100000.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=-0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Coinbase,93499.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Coinbase,87651.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=1.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_Coinbase,80687.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=2.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_Coinbase,5.819789095085071e-13,original run diagnostics status,lambda=-0.001; mean_abs=7.203523444238063e-14
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_Coinbase,5.819789095085071e-13,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=-0.001; mean_abs=7.203523444238063e-14
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_Coinbase,5.598854713184664e-13,original run diagnostics status,lambda=0.001; mean_abs=9.40508467639976e-14
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_Coinbase,5.598854713184664e-13,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=0.001; mean_abs=9.40508467639976e-14
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_Coinbase,6.23945339839338e-14,original run diagnostics status,lambda=-0.01; mean_abs=7.295101833248568e-15
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_Coinbase,6.23945339839338e-14,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=-0.01; mean_abs=7.295101833248568e-15
ORIG_DIAG_001,Original diagnostics: vwap_kappa_equals_max_share,PASS,INFO,EXCL_Coinbase,6.09512440519211e-14,original run diagnostics status,lambda=0.01; mean_abs=7.3286612393774e-15
DIAG_002,VWAP kappa equals max_share max absolute error,PASS,INFO,EXCL_Coinbase,6.09512440519211e-14,<= 1e-8 PASS; <= 1e-6 WARNING,lambda=0.01; mean_abs=7.3286612393774e-15
ORIG_DIAG_001,Original diagnostics: weight_sums_close_to_one,PASS,INFO,EXCL_KuCoin,5.551115123125783e-16,original run diagnostics status,max abs(sum(normalized weights)-1) among valid minutes
DIAG_004,Weight sums close to one,PASS,INFO,EXCL_KuCoin,5.551115123125783e-16,<= 1e-10 PASS; <= 1e-8 WARNING,max abs(sum(normalized weights)-1) among valid minutes
ORIG_DIAG_001,Original diagnostics: valid_minutes,PASS,INFO,EXCL_KuCoin,1051199.0,original run diagnostics status,before_min_venues=1051200; min_venues filtered=1
ORIG_DIAG_001,Original diagnostics: n_exchanges_used,PASS,INFO,EXCL_KuCoin,6.0,original run diagnostics status,"Binance,Bitfinex,BitMEX,Bitstamp,Coinbase,OKX"
ORIG_DIAG_001,Original diagnostics: lockin_pivot_equals_dominant_ratio,PASS,INFO,EXCL_KuCoin,1.0,original run diagnostics status,Expected to be near 1 when max_share > 0.5; exact ties can lower it.
DIAG_001,lock_in pivot equals dominant_exchange ratio,PASS,INFO,EXCL_KuCoin,1.0,>= 0.999 PASS; >= 0.99 WARNING,Expected to be near 1 when max_share > 0.5; exact ties can lower it.
ORIG_DIAG_001,Original diagnostics: negative_weights_after_cleaning,PASS,INFO,EXCL_KuCoin,0.0,original run diagnostics status,Scenario arrays set invalid/nonpositive weights to zero before normalization.
DIAG_003,No negative weights after cleaning,PASS,INFO,EXCL_KuCoin,0,0,Scenario arrays set invalid/nonpositive weights to zero before normalization.
ORIG_DIAG_001,Original diagnostics: sampled_candidate_events,PASS,INFO,EXCL_KuCoin,100000.0,original run diagnostics status,total_candidates=6264187
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_KuCoin,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=-0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_KuCoin,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_KuCoin,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=1.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_KuCoin,100000.0,original run diagnostics status,shock_type=inflate_only; delta_w=2.0; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_KuCoin,100000.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=-0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_KuCoin,94485.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=0.5; sampled_events=100000
ORIG_DIAG_001,Original diagnostics: valid_event_shocks,PASS,INFO,EXCL_KuCoin,89090.0,original run diagnostics status,shock_type=reallocate_total_fixed; delta_w=1.0; sampled_events=100000
