,delta_abs,g,N,LWMP_exceed_pct,LWMP_CI_lo_pct,LWMP_CI_hi_pct,VWAP_p95_PT,VWAP_p95_CI_lo,VWAP_p95_CI_hi,measure_raw,measure_pretty,scheme
123,0.05,2,49996,5.880470437635011,5.6776186085679,6.090101871570583,0.5182890529257784,0.5140183510163914,0.5226943638261838,neff,N_eff = 1/HHI (negated for concentration),quartile
124,0.05,3,49996,8.296663733098649,8.058069059393741,8.541666728569236,0.5756739004292084,0.5713967952946515,0.580226097770268,neff,N_eff = 1/HHI (negated for concentration),quartile
125,0.05,4,49994,14.02168260191223,13.720083279981882,14.328810734674951,0.8427303275333508,0.8402571113705128,0.8457318732904494,neff,N_eff = 1/HHI (negated for concentration),quartile
126,0.1,1,49996,3.558284662773022,3.3994366638387468,3.724269104061126,0.46936212165105545,0.4649640945567649,0.4727797043310573,neff,N_eff = 1/HHI (negated for concentration),quartile
127,0.1,2,49996,6.064485158812706,5.858623014823884,6.277098631142292,0.5216617595241533,0.5182762108945191,0.5263115605625556,neff,N_eff = 1/HHI (negated for concentration),quartile
128,0.1,3,49996,8.136650932074566,7.900202256953263,8.379532517246501,0.5735898044105239,0.5691132658729418,0.5779319007767234,neff,N_eff = 1/HHI (negated for concentration),quartile
129,0.1,4,49994,14.013681641797016,13.7121556150918,14.320737708847211,0.844118328962248,0.8413249511206684,0.8474828695985703,neff,N_eff = 1/HHI (negated for concentration),quartile
130,0.05,1,39998,3.1301565078253915,2.963953390396302,3.3053619703244914,0.45908235227121164,0.45534412414031644,0.4629357732936771,neff,N_eff = 1/HHI (negated for concentration),quintile
131,0.05,2,39996,5.210521052105211,4.996985337663957,5.432659963731436,0.505427035773401,0.5004683537374309,0.510527950767117,neff,N_eff = 1/HHI (negated for concentration),quintile
132,0.05,3,39996,7.105710571057106,6.858014152832148,7.361646157022678,0.5424706935063935,0.5384888600827743,0.5483076136672861,neff,N_eff = 1/HHI (negated for concentration),quintile
133,0.05,4,39996,10.00100010001,9.710802874344584,10.298880364001038,0.6427097666014285,0.6363690280599195,0.6494658851077708,neff,N_eff = 1/HHI (negated for concentration),quintile
134,0.05,5,39996,14.076407640764078,13.739017159674058,14.420698352799374,0.857058780662721,0.8539022646008005,0.8601631216816864,neff,N_eff = 1/HHI (negated for concentration),quintile
135,0.1,1,39998,3.165158257912896,2.9980317568295938,3.3412803812395704,0.46060060238401707,0.45631122142769664,0.46401595970890935,neff,N_eff = 1/HHI (negated for concentration),quintile
136,0.1,2,39996,5.575557555755576,5.354923055537981,5.8047251366688615,0.5108031946586595,0.5066100680099117,0.5159795707383414,neff,N_eff = 1/HHI (negated for concentration),quintile
137,0.1,3,39996,6.918191819181918,6.673606530341618,7.171052294507328,0.5391946052855852,0.5355750196469252,0.5429869681533293,neff,N_eff = 1/HHI (negated for concentration),quintile
138,0.1,4,39996,9.875987598759876,9.58744259633705,10.172239652004652,0.6407690054340376,0.635970198649161,0.6468057187660821,neff,N_eff = 1/HHI (negated for concentration),quintile
139,0.1,5,39996,14.18141814181418,13.84295792280141,14.526758421275312,0.8588096445584597,0.8556193240751386,0.8623053630935898,neff,N_eff = 1/HHI (negated for concentration),quintile
140,0.05,1,20000,2.41,2.2064176547261765,2.6318610087081513,0.44365793728478453,0.4371996217993358,0.4483770918522336,neff,N_eff = 1/HHI (negated for concentration),decile
141,0.05,2,19998,3.850385038503851,3.592448084356068,4.1260491964143196,0.4749572484723226,0.4699412186399268,0.480727658386396,neff,N_eff = 1/HHI (negated for concentration),decile
142,0.05,3,19998,4.760476047604761,4.473946700739597,5.064383009860653,0.49428235846245444,0.48843752114910155,0.5009346239669015,neff,N_eff = 1/HHI (negated for concentration),decile
143,0.05,4,19998,5.660566056605661,5.3487125152619495,5.989451466598602,0.5151654973572467,0.5092995594495416,0.5217964424522724,neff,N_eff = 1/HHI (negated for concentration),decile
144,0.05,5,19998,6.5706570657065715,6.235523132033238,6.922473279657177,0.5299577833551226,0.5234723457132964,0.5364377973680629,neff,N_eff = 1/HHI (negated for concentration),decile
145,0.05,6,19998,7.640764076407641,7.28065570924557,8.017143669387647,0.5565327827814528,0.5512934158709456,0.5622609903006398,neff,N_eff = 1/HHI (negated for concentration),decile
146,0.05,7,19998,8.095809580958095,7.725748562627809,8.48196703092034,0.574671031598151,0.5658330667392275,0.5827070182881788,neff,N_eff = 1/HHI (negated for concentration),decile
147,0.05,8,19998,11.906190619061906,11.464619119518929,12.362394889031163,0.7025645112623206,0.6950151144659678,0.7103090306310371,neff,N_eff = 1/HHI (negated for concentration),decile
148,0.05,9,19998,14.24142414241424,13.763918678912532,14.732665355629567,0.8215572081218533,0.8172191624611492,0.8246676433268414,neff,N_eff = 1/HHI (negated for concentration),decile
149,0.05,10,19998,13.91139113911391,13.438672283499528,14.397972518247123,0.8864255985916049,0.8833661072003735,0.8902439591624793,neff,N_eff = 1/HHI (negated for concentration),decile
150,0.1,1,20000,2.405,2.201633512520897,2.6266470713445544,0.4422385552810382,0.43620258059416384,0.4489643503201263,neff,N_eff = 1/HHI (negated for concentration),decile
