shock_type,delta_w,weight_factor,exchange_shocked,N,pivot_change_rate,median_abs_shift_lwmp,median_abs_shift_vwap,mean_abs_shift_lwmp,mean_abs_shift_vwap,median_pivot_margin_before,median_pivot_margin_after,median_pivot_margin_delta,median_share_shocked_before,median_share_shocked_after,median_share_shocked_delta
reallocate_total_fixed,-0.5,0.5,OKX,16848,0.17177113010446343,0.0,2.4403687967196296e-05,7.569233582164852e-05,4.805442869782857e-05,170572.62809701342,182424.87672092445,10592.430605769843,0.09706394919471681,0.048531974597358404,-0.048531974597358404
reallocate_total_fixed,0.5,1.5,BitMEX,16525,0.2777609682299546,0.0,9.823289600441818e-05,0.00018191018548483577,0.00015059153957143234,174685.51432590943,232797.28219277656,21282.28520375768,0.2896456259444776,0.4344684389167164,0.1421493085954627
reallocate_total_fixed,0.5,1.5,Bitfinex,16525,0.07600605143721634,0.0,5.722532805532921e-06,3.7797165935608465e-05,2.5154333581860844e-05,173068.20061333792,170929.7565502206,-533.8704938095907,0.0299509974043046,0.044926496106457,0.014975498702152399
reallocate_total_fixed,0.5,1.5,Bitstamp,16400,0.04884146341463415,0.0,1.9639827568143594e-06,1.792432227222269e-05,9.293197746700629e-06,172577.6297308083,171886.4079981311,12.7808398808138,0.01577218857030295,0.023658282855454398,0.007886094285151449
reallocate_total_fixed,0.5,1.5,Coinbase,16984,0.23734102684879888,0.0,4.396117389901575e-05,0.00011907736220708359,7.404423968313145e-05,169140.71941106714,221876.56270135363,30060.40683293667,0.25727676386615383,0.38591514579923075,0.1274254750884804
reallocate_total_fixed,0.5,1.5,KuCoin,16718,0.1737648044024405,0.0,2.5779734148591974e-05,8.817349768580824e-05,5.1196836483901916e-05,169648.86266253918,177190.60240827582,-13103.475382304343,0.10724798251259454,0.1608719737688919,0.05362399125629736
reallocate_total_fixed,0.5,1.5,OKX,16848,0.16209639126305794,0.0,2.4347202664336734e-05,7.278112290935758e-05,4.69921104793219e-05,170572.62809701342,180796.87436560375,-6066.831168119883,0.09706394919471681,0.1455959237920753,0.048528635437799054
reallocate_total_fixed,1.0,2.0,BitMEX,16525,0.39249621785173977,0.0,0.0001777043875425,0.00029179244334181267,0.00026023342878676885,174685.51432590943,297969.76449481846,51019.93598300347,0.2896456259444776,0.5792912518889552,0.2589605854667828
reallocate_total_fixed,1.0,2.0,Bitfinex,16525,0.1362783661119516,0.0,1.1442291041346158e-05,6.827791495264263e-05,4.822863075696248e-05,173068.20061333792,171266.57700705726,-731.6471081217751,0.0299509974043046,0.0599019948086093,0.029950997404304697
reallocate_total_fixed,1.0,2.0,Bitstamp,16400,0.09164634146341463,0.0,3.927965513716514e-06,3.6213521579013195e-05,1.8448867451700884e-05,172577.6297308083,171592.36378293752,28.495586299082788,0.01577218857030295,0.0315443771406059,0.01577218857030295
reallocate_total_fixed,1.0,2.0,Coinbase,16984,0.34785680640602923,0.0,8.336966179703084e-05,0.0001923026306547096,0.00013458894914189168,169140.71941106714,278728.80652420863,69157.90101319957,0.25727676386615383,0.5145535277323077,0.2460829827384795
reallocate_total_fixed,1.0,2.0,KuCoin,16718,0.3000358894604618,0.0,5.146780765488046e-05,0.00016470123572387096,0.00010023056918546746,169648.86266253918,194562.67249236623,-8228.606541813206,0.10724798251259454,0.21449596502518914,0.10722684003542904
reallocate_total_fixed,1.0,2.0,OKX,16848,0.27012108262108264,0.0,4.830313617516262e-05,0.00013759412517772943,9.071720817133896e-05,170572.62809701342,194390.21598758007,-6641.42656011544,0.09706394919471681,0.1941278983894337,0.09692214994022776
reallocate_total_fixed,2.0,3.0,BitMEX,16525,0.49760968229954616,0.0,0.0002772529493779,0.0004081965274454948,0.00038929273450616456,174685.51432590943,405999.449411896,134131.74476760253,0.2896456259444776,0.8689368778334328,0.40268967465477945
reallocate_total_fixed,2.0,3.0,Bitfinex,16525,0.2297125567322239,0.0,2.2880068192366224e-05,0.00013085837604793883,8.939466434149695e-05,173068.20061333792,176314.4088334114,-639.8867899999022,0.0299509974043046,0.089852992212914,0.059892648694823
reallocate_total_fixed,2.0,3.0,Bitstamp,16400,0.16140243902439025,0.0,7.850396735381175e-06,7.00997976949355e-05,3.594425443686458e-05,172577.6297308083,171878.12919934804,74.91289900236006,0.01577218857030295,0.04731656571090885,0.0315443771406059
reallocate_total_fixed,2.0,3.0,Coinbase,16984,0.45142487046632124,0.0,0.00014152243790295,0.00027435439952766023,0.00021836315033493556,169140.71941106714,374179.03304055426,145685.6365132373,0.25727676386615383,0.7718302915984616,0.42936808386118475
reallocate_total_fixed,2.0,3.0,KuCoin,16718,0.4671013279100371,0.0,0.0001017493365752,0.0002831838996490325,0.00018586618307640159,169648.86266253918,238730.07584380542,7910.181654523651,0.10724798251259454,0.32174394753778385,0.21382509567115743
reallocate_total_fixed,2.0,3.0,OKX,16848,0.41417378917378916,0.0,9.390040209398837e-05,0.00024424211159187293,0.0001674231847382671,170572.62809701342,234926.59571049505,0.0,0.09706394919471681,0.2911918475841506,0.19230635781865657
